CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
82,CH,84811,A,2.0,0,,2.78428,0.48121,0.18255,Azul,507,,0.0,2019
83,CH,96447,D,20.0,0,,3.56414,0.51626,0.13663,Azul,507,,0.0,2019
84,CH,96302,B,7.0,0,,1.13705,0.24894,0.00655,Azul,507,,0.0,2019
85,CH,111820,B,5.0,0,,1.43499,2.25728,0.06711,Azul,507,,0.0,2019
86,CH,96596,B,7.0,0,,1.69675,2.03032,0.19839,Azul,507,,0.0,2019
87,CH,84147,A,25.0,0,,2.067,0.32546,0.20034,Azul,507,,0.0,2019
88,CH,95648,C,8.0,0,,2.21046,1.12907,0.18621,Azul,507,,0.0,2019
89,CH,118038,D,26.0,0,,3.49023,1.02573,0.18725,Azul,507,,0.0,2019
91,CN,82364,A,27.0,0,,2.43167,1.13773,0.22233,Azul,503,,0.0,2019
92,CN,117836,A,23.0,0,,1.87838,1.45214,0.07496,Azul,503,,0.0,2019
93,CN,29776,E,30.0,0,,2.80865,0.58402,0.21207,Azul,503,,0.0,2019
94,CN,117999,C,3.0,0,,3.76618,0.41535,0.10709,Azul,503,,0.0,2019
95,CN,117746,A,9.0,0,,1.2139,2.21432,0.09924,Azul,503,,0.0,2019
96,CN,86521,C,4.0,0,,1.71979,0.25498,0.14498,Azul,503,,0.0,2019
97,CN,31718,D,28.0,0,,1.90483,0.48421,0.21286,Azul,503,,0.0,2019
98,CN,89150,E,22.0,0,,3.482,0.29664,0.15617,Azul,503,,0.0,2019
99,CN,117988,A,27.0,0,,3.11909,0.80483,0.08561,Azul,503,,0.0,2019
100,CN,7529,D,29.0,0,,2.26543,0.62256,0.1662,Azul,503,,0.0,2019
101,CN,88853,C,11.0,0,,2.39212,0.70901,0.165,Azul,503,,0.0,2019
102,CN,117883,B,7.0,0,,0.38139,3.36471,0.06869,Azul,503,,0.0,2019
103,CN,82490,C,19.0,0,,1.75058,1.02204,0.23374,Azul,503,,0.0,2019
104,CN,111624,D,12.0,0,,1.03081,-0.00312,0.01163,Azul,503,,0.0,2019
105,CN,82236,D,22.0,0,,2.77263,1.28601,0.13618,Azul,503,,0.0,2019
106,CN,83441,D,17.0,0,,4.60881,1.94111,0.12462,Azul,503,,0.0,2019
107,CN,19223,B,14.0,0,,2.06769,-0.11974,0.19742,Azul,503,,0.0,2019
108,CN,78504,C,24.0,0,,3.20779,1.67408,0.16383,Azul,503,,0.0,2019
109,CN,7629,B,20.0,0,,0.75316,1.83643,0.10672,Azul,503,,0.0,2019
110,CN,14273,D,13.0,0,,3.90297,2.19782,0.05798,Azul,503,,0.0,2019
111,CN,97169,A,20.0,0,,5.93339,1.98881,0.13188,Azul,503,,0.0,2019
112,CN,49600,D,23.0,0,,1.14904,2.36402,0.1148,Azul,503,,0.0,2019
113,CN,96556,A,21.0,0,,1.66258,1.3767,0.17468,Azul,503,,0.0,2019
114,CN,39290,E,8.0,0,,2.00073,0.8684,0.16452,Azul,503,,0.0,2019
115,CN,89298,A,26.0,0,,1.02022,0.29761,0.0167,Azul,503,,0.0,2019
